 Ticker,Description,Total Revenue (FY),Gross Profit (FY),Net Income (FY),Industry
CLRD,"Clearday, Inc.",12488551,-6849597,-14307883,Medical/Nursing Services
SLE,"Super League Enterprise, Inc.",19677000,3399000,-85451000,Internet Software/Services
GVFF,Greenville Federal Financial Corp.,9162000,,611000,Savings Banks
WMB,"Williams Companies, Inc. (The)",11352000000,3955000000,2049000000,Oil & Gas Pipelines
PKTX,"ProtoKinetix, Inc.",0,-58450,-1907309,Pharmaceuticals: Major
RNA,"Avidity Biosciences, Inc.",9224000,7837000,-173995000,Biotechnology
SBFM,Sunshine Biopharma Inc.,4345603,1671412,-26744440,Pharmaceuticals: Major
CRP,CERES GLOBAL AG CORP,1047669559.530887,22298410.27859113,-7995695.541547,Other Transportation
AUBN,"Auburn National Bancorporation, Inc.",32817000,,10346000,Regional Banks
KPLT,"Katapult Holdings, Inc.",212105000,40986000,-37871000,Miscellaneous Commercial Services
CSBR,"Champions Oncology, Inc.",53870000,24338000,-5335000,Biotechnology
SOBS,Solvay Bank (NY),37544000,,10767000,Regional Banks
RAVE,"Rave Restaurant Group, Inc.",11889000,7719000,1613000,Restaurants
TALO,"Talos Energy, Inc.",1651980000,869775000,381915000,Oil & Gas Production
RIDEQ,Lordstown Motors Corp.,194000,-29829000,-282404000,Motor Vehicles
VRSK,"Verisk Analytics, Inc.",2497000000,1433800000,953900000,Data Processing Services
RSI,"Rush Street Interactive, Inc.",592212000,163223000,-38631000,Casinos/Gaming
OPGN,"OpGen, Inc.",2607293,-816698,-37283233,Miscellaneous Commercial Services
CSO,CORSA COAL CORPORATION,159317953.7223202,3198056.47018412,-26630302.66118243,Coal
NCU,NEVADA COPPER CORP,8725988.31474283,-45681307.52576025,-343763219.6025681,Other Metals/Minerals
CDXC,ChromaDex Corporation,72050000,42797000,-16540000,Pharmaceuticals: Other
CTRN,"Citi Trends, Inc.",795011000,290394000,58892000,Apparel/Footwear Retail
INO,"Inovio Pharmaceuticals, Inc.",10262268,4766242,-279818065,Pharmaceuticals: Major
NBY,"NovaBay Pharmaceuticals, Inc.",14404000,7781000,-16265000,Pharmaceuticals: Major
NRXP,"NRX Pharmaceuticals, Inc.",0,-4000,-39754000,Pharmaceuticals: Major
TKOI,"Telkonet, Inc.",8448019,4159038,-1285237,Industrial Machinery
SOND,Sonder Holdings Inc.,461083000,141067000,-165742000,Financial Conglomerates
NVCT,"Nuvectis Pharma, Inc.",0,0,-19085000,Pharmaceuticals: Major
FNMA,Fannie Mae,116808000000,113439000000,12923000000,Finance/Rental/Leasing
BE,Bloom Energy Corporation,1199125000,148288000,-301408000,Electrical Products
TMDX,"TransMedics Group, Inc.",93459000,65272000.00000001,-36231000,Medical Specialties
FANG,"Diamondback Energy, Inc.",9643000000,6778000000,4344000000,Oil & Gas Production
PWSC,"PowerSchool Holdings, Inc.",630683000,298512000,-20787000,Packaged Software
ASTR,"Astra Space, Inc.",9370000,-23120000,-411438000,Aerospace & Defense
PXD,Pioneer Natural Resources Company,24384000000,10676000000,7830000000,Oil & Gas Production
LL,"LL Flooring Holdings, Inc.",1110679000,401163000,-12081000,Specialty Stores
ORLY,"O'Reilly Automotive, Inc.",14409860000,7038106000,2172650000,Specialty Stores
GTAC,Global Technology Acquisition Corp. I,0,0,12707000,Financial Conglomerates
ASAP,Waitr Holdings Inc.,111801000,37092000,-206789000,Services to the Health Industry
AMPY,Amplify Energy Corp.,458456000,266640000,55147000,Integrated Oil
RYAN,"Ryan Specialty Holdings, Inc.",1725193000,,61052000,Insurance Brokers/Services
WTTR,"Select Water Solutions, Inc.",1387420000,158546000,48278000,Water Utilities
BRCC,BRC Inc.,301313000,31374000,-82906000,Food: Specialty/Candy
ENZN,"Enzon Pharmaceuticals, Inc.",26000,,-186000,Pharmaceuticals: Major
GEOS,Geospace Technologies Corporation,124509000,51690000,12206000,Oilfield Services/Equipment
ATRC,"AtriCure, Inc.",330379000,245940000,-46466000,Medical Specialties
NWBO,"Northwest Biotherapeutics, Inc.",1683000,135000,-105032000,Pharmaceuticals: Major
PIRS,"Pieris Pharmaceuticals, Inc.",25902000,23122000,-33277000,Biotechnology
CHD,"Church & Dwight Company, Inc.",5375600000,2127600000,413900000,Household/Personal Care
IAS,Integral Ad Science Holding Corp.,408348000,282325000,15373000,Packaged Software
MXC,Mexco Energy Corporation,9557289,5952991,4662702,Oil & Gas Production
TRUE,TREATMENT.COM AI INC.,0,0,-2800862.475,Packaged Software
ACMR,"ACM Research, Inc.",388832000,183615000,39263000,Industrial Machinery
RS,Reliance Steel & Aluminum Co.,17025000000,5011100000,1840100000,Steel
SILO,"Silo Pharma, Inc.",72102,-511387,-3908551,Pharmaceuticals: Major
XPER,Xperi Inc.,502260000,296604000,-757484000,Packaged Software
QTRX,Quanterix Corporation,105522000,45528000,-96700000,Medical Specialties
CNX,CNX Resources Corporation,3923986000,2787807000,-142077000,Integrated Oil
SNPX,"Synaptogenix, Inc.",0,-5714,-5573957,Pharmaceuticals: Major
WLKP,Westlake Chemical Partners LP,1593147000,377365000,64173000,Chemicals: Specialty
MITK,"Mitek Systems, Inc.",171900000,,7813000,Information Technology Services
MRZM,"Marizyme, Inc.",233485,-662278,-38165870,Biotechnology
AGEN,Agenus Inc.,98024000,80510000,-220074000,Biotechnology
EPSN,Epsilon Energy Ltd.,69962709.0001123,54107804.0000868,35354679.0000568,Integrated Oil
QDEL,QuidelOrtho Corporation,3263100000,1650100000,548700000,Medical Specialties
SBOW,"SilverBow Resources, Inc",753420000,528931000.00000006,340437000,Oil & Gas Production
TRNR,Interactive Strength Inc.,681000,-8868000,-58225000,Specialty Stores
SQCF,"Susquehanna Community Financial, Inc.",23299000,,5310000,Regional Banks
INTA,"Intapp, Inc.",350873000,232978000,-69425000,Packaged Software
STLY,"HG Holdings, Inc.",14513000,,3740000,Specialty Insurance
BEBE,"bebe stores, inc.",56881000,35448000,-598000,Finance/Rental/Leasing
VNCE,Vince Holding Corp.,357442000,129727000,-38346000,Apparel/Footwear
SNAL,"Snail, Inc.",74444141,24370347,947807,Packaged Software
IONI,I-ON Digital Corp.,0,0,-27625,Packaged Software
MCHX,"Marchex, Inc.",52170000,28084000,-8245000,Advertising/Marketing Services
PED,Pedevco Corp.,30034000,8484000,2844000,Oilfield Services/Equipment
IQST,iQSTEL Inc.,93203532,1671399,-5967474,Specialty Telecommunications
ASTC,Astrotech Corporation,750000,183000,-9642000,Aerospace & Defense
AVAH,Aveanna Healthcare Holdings Inc.,1787645000,531914000,-662034000,Medical/Nursing Services
TMRC,Texas Mineral Resources Corp.,0,-1164,-2591961,Other Metals/Minerals
SHLS,"Shoals Technologies Group, Inc.",326940000,121838000,127611000,Semiconductors
MNR,Mach Natural Resources LP,1197036000,663686000,639084000,Integrated Oil
HPE,Hewlett Packard Enterprise Company,29135000000,9951000000,2025000000,Computer Processing Hardware
MIX,MIX TELEMATICS LTD,137602072.23420444,85361541.56844422,4292233.94571955,Information Technology Services
NTWK,NETSOL Technologies Inc.,52393215,16915563,-5243748,Information Technology Services
HOLX,"Hologic, Inc.",4030400000,2222900000,456000000,Medical Specialties
CPE,Callon Petroleum Company,3230964000,1738694000,1209816000,Oil & Gas Production
IAU,I 80 GOLD CORP,,,,Precious Metals
NICK,"Nicholas Financial, Inc.",44270000,42104000,-34119000,Finance/Rental/Leasing
MPC,Marathon Petroleum Corporation,177411000000,22550000000,14508000000,Oil Refining/Marketing
DYAI,"Dyadic International, Inc.",2930303,807110,-9735258,Medical/Nursing Services
LINK,"Interlink Electronics, Inc.",7493000,3613000,1672000,Semiconductors
MASN,MAISON LUXE INC.,11870138,-739387,-6661261,Specialty Stores
KANP,Kaanapali Land LLC,9224000,2141000,2850000,Food: Specialty/Candy
PIII,P3 Health Partners Inc.,1049471000,-95041999.9999999,-270127000,Miscellaneous Commercial Services
SDPI,"Superior Drilling Products, Inc.",19097687,9262834,1065157,Oilfield Services/Equipment
SCFR,"Security First International Holdings, Inc.",,,,Engineering & Construction
MUSA,Murphy USA Inc.,23446100000,1200300000,672900000,Specialty Stores
VSTO,Vista Outdoor Inc.,3079807000,1030896999.9999998,-9718000,Recreational Products
GERS,Greenshift Corp.,,,,Trucking
FRGT,"Freight Technologies, Inc.",25888436.0000322,-2943521.0000037,-8187182.00001019,Financial Conglomerates
ET,Energy Transfer LP,89876000000,9018000000,4752000000,Oil & Gas Pipelines
APA,APA Corporation,11075000000,5833000000,3674000000,Integrated Oil
NFLX,"Netflix, Inc.",31615550000,12447265000,4491924000,Data Processing Services
ENDV,"Endonovo Therapeutics, Inc.",135355,-521547,-18474835,Medical Specialties
MCEM,Monarch Cement Co. (The),232595948,74101644,40876176,Construction Materials
RPID,"Rapid Micro Biosystems, Inc.",17133000,-8540000,-60806000,Industrial Machinery
NHWK,"NightHawk Biosciences, Inc.",6383169,-2848474,-43434706,Pharmaceuticals: Major
MHTX,"Manhattan Scientifics, Inc.",50000,47000,-2730000,Biotechnology
GBR,"New Concept Energy, Inc",212000,155000,181000,Real Estate Development
CTLT,"Catalent, Inc.",4263000000,1040000000,-256000000,Pharmaceuticals: Major
TRGP,"Targa Resources, Inc.",20938500000,2047600000,1142300000,Gas Distributors
HES,Hess Corporation,11909000000,4983000000,2096000000,Integrated Oil
UONE,"Urban One, Inc.",,,,Movies/Entertainment
MTRX,Matrix Service Company,795020000,30820000,-52361000,Engineering & Construction
2148,VESYNC CO LTD,491545548.7014135,138471906.84382018,-16314751.78467269,Packaged Software
CCFC,CCSB Financial Corp.,5004138,,328140,Savings Banks
LDWY,"Lendway, Inc.",18800000,3301000,10046000,Advertising/Marketing Services
STR,Sitio Royalties Corp.,369612000,239529000,15701000,Investment Trusts/Mutual Funds
NEPH,"Nephros, Inc.",9975000,4453000,-7382000,Medical Specialties
OSS,"One Stop Systems, Inc.",72421345,19410541,-2229055,Computer Processing Hardware
OTLC,"Oncotelic Therapeutics, Inc.",0,-12841,5094981,Biotechnology
SCTL,"Societal CDMO, Inc.",90214000,22233000,-19881000,Pharmaceuticals: Major
ENSC,"Ensysce Biosciences, Inc.",2523383,,-25085496,Biotechnology
GTES,Gates Industrial Corporation plc,3554200000,1252900000,221200000,Industrial Machinery
FIGS,"FIGS, Inc.",505835000,350155000,21186000,Apparel/Footwear
FIDS,"FNB, Inc.",11715610,,1760399,Regional Banks
DK,"Delek US Holdings, Inc.",20245800000,832600000.0000011,257100000.00000003,Oil Refining/Marketing
CTNT,Cheetah Net Supply Chain Service Inc.,55153335,4469381,816980,Engineering & Construction
PNRG,PrimeEnergy Resources Corporation,137126000,60148000,48664000,Oil & Gas Production
SOI,"Solaris Oilfield Infrastructure, Inc.",320005000,69797000,20311000,Information Technology Services
ECSL,"eCare Solutions, Inc.",423731,-68592,-1946256,Managed Health Care
BKR,Baker Hughes Company,21156000000,4920000000,-601000000,Contract Drilling
INTC,Intel Corporation,63054000000,26681000000,8014000000,Semiconductors
CNAF,Commercial National Financial Corp. (PA),17102000,,3907000,Regional Banks
UAVS,"AgEagle Aerial Systems, Inc.",19094425,4545725,-58253723,Aerospace & Defense
WTI,"W&T Offshore, Inc.",920997000,527825000.00000006,231149000,Oil & Gas Production
UTMD,"Utah Medical Products, Inc.",52281000,25779000,16473000,Medical Specialties
IGC,"IGC Pharma, Inc.",911000,-158000,-11506000,Biotechnology
MKL,Markel Group Inc.,11568035000,,-284019000,Property/Casualty Insurance
OXY,Occidental Petroleum Corporation,36253000000,17048000000,13221000000,Oil & Gas Production
ULBI,Ultralife Corporation,131840000,28118000,-119000,Electrical Products
GNPX,"Genprex, Inc.",0,-25575,-23740621,Pharmaceuticals: Major
TIUM.U,CANSORTIUM INC.,87692000,39818000,-37423000,Agricultural Commodities/Milling
SRCO,"Sparta Commercial Services, Inc.",256906,213945,1020456,Packaged Software
PGOL,Patriot Gold Corp.,1786040,,621511,Precious Metals
SPHR,Sphere Entertainment Co.,573831000,200904000,502772000,Media Conglomerates
KNTK,Kinetik Holdings Inc.,1213490000,257368000,73635000,Oil & Gas Pipelines
CPS,Cooper-Standard Holdings Inc.,2525391000,120789000,-215384000,Auto Parts: OEM
QUBT,Quantum Computing Inc.,135648,-25314162,-38593700,Information Technology Services
TKO,"TKO Group Holdings, Inc.",1291523000,523611999.99999994,195588000,Movies/Entertainment
FGI,FGI Industries Ltd.,161718543,31333026,3679920,Building Products
CEAD,CEA Industries Inc.,11283189,1118568,-5497175,Trucks/Construction/Farm Machinery
ERII,"Energy Recovery, Inc.",125591000,87356000,24049000,Industrial Machinery
NUE,Nucor Corporation,41512467000,12436774000,7576165000,Steel
CEIX,CONSOL Energy Inc.,2298341000,939800000,466979000,Coal
OTCM,OTC Markets Group Inc.,96201000,48433000,30126000,Investment Banks/Brokers
AP,Ampco-Pittsburgh Corporation,390189000,45172000,3416000,Steel
KEX,Kirby Corporation,2784754000,522370000,122258000,Marine Shipping
ENFN,"Enfusion, Inc.",150349000,103249000,-7654000,Packaged Software
1521,FRONTAGE HOLDINGS CORP,250956086.06571463,89406363.39888747,25796272.86667659,Biotechnology
HOUR,"Hour Loop, Inc.",95930091,48987321,-1477623,Internet Retail
ARIS,"Aris Water Solutions, Inc.",321001000,113997000,1700000,Water Utilities
NGTF,"NightFood Holdings, Inc.",133456,-145821,-5749722,Food: Specialty/Candy
UMGP,"Universal Media Group, Inc.",25000,-53700,-364377,Medical Specialties
VCEL,Vericel Corporation,164365000,109788000,-16709000,Pharmaceuticals: Major
NUVR,"Nuvera Communications, Inc.",65714468.99999999,21426453,7196702,Major Telecommunications
HESM,Hess Midstream LP,1275200000,814300000,83900000,Integrated Oil
VTNR,"Vertex Energy, Inc",2791715000,264337000,-5277000,Environmental Services
LIVE,Live Ventures Incorporated,286913000,97827000,24741000,Home Furnishings
JEWL,Adamas One Corp.,1788642,-4217700,-11067858,Other Consumer Specialties
VCNX,"Vaccinex, Inc.",275000,68000,-19815000,Biotechnology
NG,Novagold Resources Inc.,0,-6753.81104478,-51466934.65165634,Precious Metals
GPP,Green Plains Partners LP,79767000,50516000,39837000,Other Transportation
RYI,Ryerson Holding Corporation,6323600000,1309400000,391000000,Steel
PRPO,"Precipio, Inc.",9412000,2510000,-12203000,Medical/Nursing Services
BRBS,"Blue Ridge Bankshares, Inc.",153653000,,27913000,Major Banks
DO,"Diamond Offshore Drilling, Inc.",841278000,1856000.00000007,-103211000,Contract Drilling
SYM,Symbotic Inc.,1176891000,189739000,-23866000,Industrial Machinery
HAIN,"The Hain Celestial Group, Inc.",1796643000,387848000,-116537000,Food: Major Diversified
SSRM,SSR Mining Inc.,1102544853.944433,287885586.0876313,186447652.5890568,Precious Metals
NMRD,Nemaura Medical Inc.,77044,-1920569,-14143735,Medical Specialties
FIGP,Forge Group Inc.,,,,Property/Casualty Insurance
INDP,"Indaptus Therapeutics, Inc.",0,-1781,-14322798.0000195,Pharmaceuticals: Major
CDNS,"Cadence Design Systems, Inc.",3561718000,3171625000,848952000,Packaged Software
XPO,"XPO, Inc.",7718000000,1227000000,236000000,Trucking
GTLS,"Chart Industries, Inc.",1612400000,365000000,24000000,Industrial Machinery
PAGP,"Plains GP Holdings, L.P.",57163000000,1645000000,168000000,Oil & Gas Pipelines
MSS,Maison Solutions Inc.,,,,Food Retail
WFRD,Weatherford International plc,4331000000,1311000000,26000000,Oilfield Services/Equipment
LNW,"Light & Wonder, Inc.",2512000000,1354000000,-1252000000,Casinos/Gaming
HLIT,Harmonic Inc.,624957000,304157000,28182000,Telecommunications Equipment
SGMT,Sagimet Biosciences Inc. - Series A,0,-130000,-30499000,Pharmaceuticals: Major
DEVO,DEVOLVER DIGITAL INC COM SHS USD0.0001 (DI) REG S CAT 3/144A,132120092.21761596,39144621.23601299,-89812011.4109482,Packaged Software
PFBX,Peoples Financial Corp.,30603000,,8941000,Regional Banks
IGPK,"Integrated Cannabis Solutions, Inc.",1196348,100742,-461932,Information Technology Services
EVFM,"Evofem Biosciences, Inc.",16837000,10376000,-76698000,Biotechnology
STLD,"Steel Dynamics, Inc.",22260774000,5613409000,3862674000,Steel
SM,SM Energy Company,3358647000,2071543999.9999995,1111952000,Oil & Gas Production
IRMD,iRadimed Corporation,53303145,41282403,12828487,Medical Specialties
UUUU,Energy Fuels Inc,12019122.13944604,-147898.10702954,-57477622.12734354,Other Metals/Minerals
AE,"Adams Resources & Energy, Inc.",3366940000,23512000.0000002,3487000,Wholesale Distributors
ODFL,"Old Dominion Freight Line, Inc.",6260077000,2197825000,1377159000,Trucking
VTLE,"Vital Energy, Inc.",1920796000,1144487000,631512000,Oil & Gas Production
SBKO,"Summit Bank Group, Inc.",48118943,,13553021,Regional Banks
SVSN,"Stereo Vision Entertainment, Inc.",0,0,-359482,Movies/Entertainment
WNMLA,Winmill & Co. Incorporated,,,,Investment Managers
MRVL,"Marvell Technology, Inc.",5919600000,2987500000,-163500000,Semiconductors
FLNT,"Fluent, Inc.",361134000,80433000,-123332000,Data Processing Services
OPTT,"Ocean Power Technologies, Inc.",2732000,236000,-26326000,Electrical Products
ONVO,"Organovo Holdings, Inc.",370000,77000,-17259000,Biotechnology
PLAG,Planet Green Holdings Corp.,44756826,4351830,-25808418,Food: Specialty/Candy
TGAN,"Transphorm, Inc.",16511000,-950000,-30598000,Semiconductors
WS,"Worthington Steel, Inc.",,,,Steel
OSCR,"Oscar Health, Inc.",3963638000,,-606275000,Managed Health Care
LAZR,"Luminar Technologies, Inc.",40698000,-60285000,-445939000,Auto Parts: OEM
MICR,"Micron Solutions, Inc.",22564504,2849523,-1293138,Medical Specialties
CAVA,"CAVA Group, Inc.",564119000,55260000,-58987000,Restaurants
ZDPY,"Zoned Properties, Inc.",2660090,1751656,-574355,Real Estate Development
OPAD,Offerpad Solutions Inc.,3952314000,182422000,-148613000,Internet Software/Services
SCWO,374Water Inc.,3015521,-1375933,-4689967,Environmental Services
TZOO,Travelzoo,70599000,60611000,6693000,Commercial Printing/Forms
APRU,"Apple Rush Co., Inc.",170883,103794,-1041239,Beverages: Non-Alcoholic
MRO,Marathon Oil Corporation,7540000000,4254000000,3612000000,Oil & Gas Production
INNV,InnovAge Holding Corp.,688087000,85868999.9999999,-40673000,Packaged Software
CVI,CVR Energy Inc.,10896000000,1178000000,463000000,Oil Refining/Marketing
IPI,"Intrepid Potash, Inc",337568000,139447000,72220000,Other Metals/Minerals
STBK,STUDIO FINL HLDGS INC.,32199000,,4064000,Regional Banks
CMTV,Community Bancorp.,43172733,,13739940,Major Banks
CWD,CaliberCos Inc.,83956000,-591000,2020000,Investment Managers
IDWM,"IDW Media Holdings, Inc.",36094000,19248000,-748000,Publishing: Books/Magazines
FOXO,FOXO Technologies Inc.,-52930000,,-95255000,Packaged Software
INKW,"Greene Concepts, Inc.",719732,62705,-1399672,Computer Peripherals
PG,Procter & Gamble Company (The),82006000000,39406000000,14653000000,Household/Personal Care
ZYXI,"Zynex, Inc.",158167000,126162000,17048000,Medical Specialties
HWNI,High Wire Networks Inc.,55049441.0000884,-3138244.00000498,-19954961.000032,Information Technology Services
CCLD,"CareCloud, Inc.",138826000,42667000,5432000,Packaged Software
KNSL,"Kinsale Capital Group, Inc.",819566000,,159114000,Multi-Line Insurance
PFE,"Pfizer, Inc.",100330000000,62090000000,31365000000,Pharmaceuticals: Major
SNSE,"Sensei Biotherapeutics, Inc.",0,-1808000,-48588000,Biotechnology
CQP,"Cheniere Energy Partners, LP",17205000000,5667000000,1573000000,Gas Distributors
GSPE,"Gulfslope Energy, Inc.",0,-996,-8696754,Integrated Oil
ABVC,"ABVC BioPharma, Inc.",969783,659569,-16423239,Pharmaceuticals: Major
CZNL,Citizens National Corp.,,,,Major Banks
BBW,"Build-A-Bear Workshop, Inc.",467937000,245872000,47985000,Specialty Stores
CRVO,CervoMed Inc.,0,0,-15591428,Miscellaneous Commercial Services
UCLE,US Nuclear Corp.,2091366,-169886,-2042795,Electronic Equipment/Instruments
ADTH,"AdTheorent Holding Company, Inc.",166082000,77008000,29338000,Packaged Software
TDS,"Telephone and Data Systems, Inc.",5413000000,1919000000,62000000,Wireless Telecommunications
CPRT,"Copart, Inc.",3869518000,1719610000,1237741000,Specialty Stores
BIOR,"Biora Therapeutics, Inc.",305000,-602000,-38157000,Medical/Nursing Services
NUGN,"NuGene International, Inc.",1966202,-105087,-487158,Household/Personal Care
HAL,Halliburton Company,20297000000,3313000000,1572000000,Oilfield Services/Equipment
POL,Polished Inc.,,,,Electronics/Appliance Stores
CARV,"Carver Bancorp, Inc.",33053000,,-4401000,Savings Banks
AADI,"Aadi Bioscience, Inc.",15216000,13881000,-60513000,Biotechnology
HCDI,"Harbor Custom Development, Inc.",55414300,-1859900,-16921700,Homebuilding
KFFB,Kentucky First Federal Bancorp,12947000,,933000,Savings Banks
BF.A,Brown Forman Inc,4192000000,2458000000,783000000,Beverages: Alcoholic
TLRS,Timberline Resources Corp.,0,-5912,-5961907,Precious Metals
JTAI,Jet.AI Inc.,0,0,7175980.00008747,Airlines
TPCS,TechPrecision Corporation,31431614,4903661,-979006,Industrial Machinery
ALK,"Alaska Air Group, Inc.",9646000000,1569000000,58000000,Airlines
HL,Hecla Mining Company,713105000,62306000,-37348000,Precious Metals
MTRT,"Metal Arts Company, Inc.",15824868,13174245,979053,Other Consumer Specialties
USM,United States Cellular Corporation,4169000000,1402000000,30000000,Wireless Telecommunications
ACAD,ACADIA Pharmaceuticals Inc.,517235000,507069000,-215975000,Pharmaceuticals: Major
VGAS,"Verde Clean Fuels, Inc.",0,0,-3698144,Industrial Specialties
NXU,"Nxu, Inc.",0,-349000,-70681000,Electrical Products
XLO,"Xilio Therapeutics, Inc.",0,-1847000,-88222000,Pharmaceuticals: Major
AMMX,AmeraMex International Inc.,19222509,4487406,871060,Wholesale Distributors
AAGC,All American Gold Corp.,,,,Precious Metals
APTY,APT Systems Inc.,1985,-27583,-107979,Data Processing Services
ASPD,ASPEN DIGITAL INC,,,,Real Estate Investment Trusts
IPX,IPERIONX LIMITED,0,-422318.5177492,-17272345.58506325,Precious Metals
AAGH,America Great Health,204308,168588,-761420,Pharmaceuticals: Other
CTRA,Coterra Energy Inc.,9514000000,6069000000,4065000000,Integrated Oil
SWN,Southwestern Energy Company,15002000000,7820000000,1849000000,Integrated Oil
NHYF,"Natural Harmony Foods, Inc.",,,,Food: Major Diversified
ATIF,ATIF Holdings Limited,2450000,1877060,-2882299,Investment Managers
BEAM,Beam Therapeutics Inc.,60920000,38343000,-289088000,Biotechnology
TDRK,Tiderock Companies Inc.,105000,83876,-907115,Real Estate Investment Trusts
AREC,American Resources Corporation,39474269,9261305,-1445672,Coal
KOAN,Resonate Blends Inc.,49501,-425430,653627,Information Technology Services
REI,"Ring Energy, Inc.",347249537,268998715,138635025,Integrated Oil
IMMX,"Immix Biopharma, Inc.",0,-2135,-8229713,Pharmaceuticals: Major
LTH,"Life Time Group Holdings, Inc.",1822557000,474544000,-1793000,Other Consumer Services
HGBL,Heritage Global Inc.,46914000,25468000,15493000,Investment Banks/Brokers
MNOV,"MediciNova, Inc.",0,-212426,-14069083,Pharmaceuticals: Major
MHH,"Mastech Digital, Inc",242238000,60196000,8712000,Personnel Services
OVV,Ovintiv Inc. (DE),14331000000.022999,6557000000.01051,3637000000.00584,Oil & Gas Production
POAI,Predictive Oncology Inc.,1505459,101983,-25737634,Medical Specialties
DKNG,DraftKings Inc.,2240461000,756188000,-1377987000,Movies/Entertainment
HNOI,HNO International Inc.,34450,,-1077342,Auto Parts: OEM
BEAT,"Heartbeam, Inc.",0,0,-12962000,Medical Specialties
MGRM,Monogram Orthopaedics Inc.,0,-386686,-13690947,Medical Specialties
ENLC,"EnLink Midstream, LLC",9527800000,790700000,361300000,Oil & Gas Pipelines
SLB,Schlumberger N.V.,28178000000,5490000000,3441000000,Contract Drilling
OII,"Oceaneering International, Inc.",2066083999.9999995,307377000,25941000,Industrial Machinery
TALN,"Talon International, Inc.",37542667,13861358,1838158,Miscellaneous Manufacturing
UAPC,United American Petroleum Corp.,0,0,-34193,Oil & Gas Production
ERBB,"American Green, Inc.",3793232,545421,-2501772,Agricultural Commodities/Milling
FIFG,"First Foods Group, Inc.",84795,-122288,-1432597,Food: Specialty/Candy
HYPR,"Hyperfine, Inc.",6814000,907000,-73164000,Medical Specialties
CRDV,COMMUNITY REDEVELOPMENT INC.,93750,6242,-10821237,Real Estate Development
TAYO,"Taylor Consulting, Inc.",,,,Miscellaneous Commercial Services
ISCO,International Stem Cell Corp.,8180000,4830000,-331000,Medical Specialties
CETI,Cyber Enviro-Tech Inc.,,,,Engineering & Construction
VTAK,"Catheter Precision, Inc.",14000,-568000,-26865000,Medical Specialties
BRN,"Barnwell Industries, Inc.",27250000,10442000,5513000,Integrated Oil
CALC,"CalciMedica, Inc.",0,-615000,-35605000,Biotechnology
ASRE,ASTRA ENERGY INC.,25000,,-2634545,Other Consumer Services
GMGI,"Golden Matrix Group, Inc.",36034856.0002367,9162627.00006023,-250038.00000164,Packaged Software
AMWL,American Well Corporation,277190000,90615000,-270429000,Internet Software/Services
PDRO,Pedro's List Inc.,0,0,-882360.00000656,Wholesale Distributors
GPRE,"Green Plains, Inc.",3664436000,93400000,-127218000,Chemicals: Specialty
RMBL,"RumbleOn, Inc.",1793368000,429580000,-261512999.99999997,Specialty Stores
LZ,"LegalZoom.com, Inc.",619979000,395720000,-48733000,Miscellaneous Commercial Services
BETR,Better Home & Finance Holding Company,0,0,8735542.00001636,Finance/Rental/Leasing
GTII,"Global Tech Industries Group, Inc.",0,-1697,-13593202,Medical/Nursing Services
IDN,"Intellicheck, Inc.",15966000,14681000,-3851000,Packaged Software
ZUO,"Zuora, Inc.",396087000,244051000,-197970000,Packaged Software
PAA,"Plains All American Pipeline, L.P.",57104000000,1589000000,1032000000,Oil & Gas Pipelines
CIA,"Citizens, Inc.",232524000,,-6638000,Life/Health Insurance
FLYW,Flywire Corporation - Voting,289375000,167339000,-39347000,Regional Banks
PRST,"Presto Automation, Inc.",26135000,521000,-34480000,Packaged Software
VTDRF,Vantage Drilling International,278716000,-543999.99999998,-3355000,Contract Drilling
BSPK,"Bespoke Extracts, Inc.",3407,2258,-4116227,Agricultural Commodities/Milling
QIND,Quality Industrial Corp.,65603673,21501118,6773268,Industrial Machinery
MTDR,Matador Resources Company,3196699000,2014173000,1214206000,Integrated Oil
MCAF,Mountain Crest Acquisition Corp. IV,0,0,-111447,Financial Conglomerates
SHEN,Shenandoah Telecommunications Co,267370999.99999997,90926000,-8379000,Major Telecommunications
ATUS,"Altice USA, Inc.",9647659000,4668348000,194563000,Major Telecommunications
GDVM,"Global Developments, Inc.",,,,Wireless Telecommunications
JOUT,Johnson Outdoors Inc.,663844000,240025000,19534000,Recreational Products
1316,NEXTEER AUTOMOTIVE GROUP LIMITED,3848845009.325692,355608663.19306254,58151124.06506742,Auto Parts: OEM
CHK,Chesapeake Energy Corporation,14123000000,6356000000,4936000000,Integrated Oil
IMNN,"Imunon, Inc.",500000,-231629,-35898234,Biotechnology
NPCE,"Neuropace, Inc.",45520000,32493000.00000001,-47082000,Medical Specialties
MNTK,"Montauk Renewables, Inc.",213388000,135421000,35194000,Industrial Specialties
VYNT,"Vyant Bio, Inc.",666000,-342000,-22690000,Biotechnology
KOS,Kosmos Energy Ltd.,2259928000,1224386000,226551000,Integrated Oil
FEMY,Femasys Inc.,1206218,-124860,-11394170,Electronic Equipment/Instruments
WES,"Western Midstream Partners, LP",3251721000,1593890000,1189562000,Oil & Gas Pipelines
APCX,AppTech Payments Corp.,450000,-175000,-16281000,Regional Banks
AQST,"Aquestive Therapeutics, Inc.",47680000,27797000,-54410000,Pharmaceuticals: Major
BPTH,"Bio-Path Holdings, Inc.",0,-178000,-13868000,Biotechnology
